First Name,Last Name,Common Name,Image Path,Club,Country
Zinedine,Zidane,,player_images\Zinedine Zidane.png,EA FC ICONS,France
,Ronaldinho,Ronaldinho,player_images\nan Ronaldinho.png,EA FC ICONS,Brazil
,Ronaldo,Ronaldo,player_images\nan Ronaldo.png,EA FC ICONS,Brazil
Johan,Cruyff,,player_images\Johan Cruyff.png,EA FC ICONS,Netherlands
,,,player_images\nan nan_8.png,Spurs,Argentina
,Camavinga,Camavinga,player_images\nan camavinga.png,Real Madrid,France
Mané,Garrincha,,player_images\Mané Garrincha.png,EA FC ICONS,Brazil
,,,player_images\nan nan_9.png,FC Barcelona,Spain
Lautaro,Martínez,,player_images\Lautaro Martínez.png,Inter,Argentina
Theo,Hernández,,player_images\Theo Hernández.png,Milan,France
Kylian,Mbappé,,player_images\Kylian Mbappé.png,Real Madrid,France
,,,player_images\nan nan_10.png,Manchester City,Belgium
Jude,Bellingham,,player_images\Jude Bellingham_9.png,Real Madrid,England
Jamal,Musiala,,player_images\Jamal Musiala.png,FC Bayern München,Germany
,Jairzinho,Jairzinho,player_images\nan Jairzinho.png,EA FC ICONS,Brazil
Fridolina,Rolfö,,player_images\Fridolina Rolfö.png,FC Barcelona,Sweden
George,Best,,player_images\George Best.png,EA FC ICONS,Northern Ireland
Ousmane,Dembélé,,player_images\Ousmane Dembélé.png,Paris SG,France
Rio,Ferdinand,,player_images\Rio Ferdinand.png,EA FC ICONS,England
Samuel,Eto'o,,player_images\Samuel Eto'o.png,EA FC ICONS,Cameroon
Alexandra,Popp,,player_images\Alexandra Popp.png,VfL Wolfsburg,Germany
Grace,Geyoro,,player_images\Grace Geyoro.png,Paris SG,France
Didier,Drogba,,player_images\Didier Drogba.png,EA FC ICONS,Côte d'Ivoire
David,Ginola,,player_images\David Ginola.png,Heroes,France
Bobby,Moore,,player_images\Bobby Moore.png,EA FC ICONS,England
N'Golo,Kanté,,player_images\N'Golo Kanté.png,Al Ittihad,France
Christopher,Nkunku,,player_images\Christopher Nkunku.png,Chelsea,France
Wendie,Renard,,player_images\Wendie Renard.png,OL,France
Martin,Ødegaard,,player_images\Martin Ødegaard.png,Arsenal,Norway
,,,player_images\nan nan_11.png,EA FC ICONS,Spain
Lucy,Bronze,,player_images\Lucy Bronze.png,Chelsea,England
Riccardo,Calafiori,,player_images\Riccardo Calafiori.png,Arsenal,Italy
Lionel,Messi,,player_images\Lionel Messi_2.png,Inter Miami CF,Argentina
,,,player_images\nan nan_12.png,FC Barcelona,Norway
Kylian,Mbappé,,player_images\Kylian Mbappé_2.png,Paris SG,France
Erling,Haaland,,player_images\Erling Haaland_2.png,Manchester City,Norway
,,,player_images\nan nan_13.png,FC Barcelona,Spain
,Pelé,Pelé,player_images\nan Pelé_2.png,EA FC ICONS,Brazil
Johan,Cruyff,,player_images\Johan Cruyff_2.png,EA FC ICONS,Netherlands
,,,player_images\nan nan_14.png,Liverpool,Netherlands
Lauren,James,,player_images\Lauren James.png,Chelsea,England
Erling,Haaland,,player_images\Erling Haaland_3.png,Manchester City,Norway
Alexandra,Popp,,player_images\Alexandra Popp_2.png,VfL Wolfsburg,Germany
Jeremie,Frimpong,,player_images\Jeremie Frimpong_2.png,Leverkusen,Netherlands
Harry,Kane,,player_images\Harry Kane.png,FC Bayern München,England
Lauren,James,,player_images\Lauren James_2.png,Chelsea,England
,,,player_images\nan nan_15.png,Liverpool,Netherlands
Erling,Haaland,,player_images\Erling Haaland_4.png,Manchester City,Norway
Harry,Kane,,player_images\Harry Kane_2.png,FC Bayern München,England
Jeremie,Frimpong,,player_images\Jeremie Frimpong_3.png,Leverkusen,Netherlands
Alexandra,Popp,,player_images\Alexandra Popp_3.png,VfL Wolfsburg,Germany
Sakina,Karchaoui,,player_images\Sakina Karchaoui_2.png,Paris SG,France
Kylian,Mbappé,,player_images\Kylian Mbappé_3.png,Paris SG,France
Sakina,Karchaoui,,player_images\Sakina Karchaoui_3.png,Paris SG,France
Kylian,Mbappé,,player_images\Kylian Mbappé_4.png,Paris SG,France
Lionel,Messi,,player_images\Lionel Messi_3.png,Inter Miami CF,Argentina
Lionel,Messi,,player_images\Lionel Messi_4.png,Inter Miami CF,Argentina
Jude,Bellingham,,player_images\Jude Bellingham_9.png,Real Madrid,England
,,,player_images\nan nan_16.png,FC Barcelona,Spain
,,,player_images\nan nan_17.png,FC Barcelona,Norway
,,,player_images\nan nan_18.png,FC Barcelona,Norway
,,,player_images\nan nan_19.png,FC Barcelona,Spain
Jude,Bellingham,,player_images\Jude Bellingham_9.png,Real Madrid,England
Lautaro,Martínez,,player_images\Lautaro Martínez_2.png,Inter,Argentina
Theo,Hernández,,player_images\Theo Hernández_2.png,Milan,France
Lautaro,Martínez,,player_images\Lautaro Martínez_3.png,Inter,Argentina
Smith,Rowe,,player_images\
Theo,Hernández,,player_images\Theo Hernández_3.png,Milan,France
Steven,Gerrard,,player_images\Steven Gerrard.png,EA FC ICONS,England
Toni,Kroos,,player_images\Toni Kroos.png,Real Madrid,Germany
Memphis,Depay,,player_images\Memphis Depay.png,Atlético de Madrid,Netherlands
Alphonso,Davies,,player_images\Alphonso Davies_4.png,FC Bayern München,Canada
Rodrigo,Bentancur,,player_images\Rodrigo Bentancur.png,Spurs,Uruguay
Éder,Militão,,player_images\Éder Militão.png,Real Madrid,Brazil
Kyle,Walker,,player_images\Kyle Walker.png,Manchester City,England
,,,player_images\nan nan_20.png,FC Barcelona,Netherlands
Rúben,Dias,,player_images\Rúben Dias.png,Manchester City,Portugal
Peter,Schmeichel,,player_images\Peter Schmeichel.png,EA FC ICONS,Denmark
Nemanja,Vidic,,player_images\Nemanja Vidic.png,EA FC ICONS,Serbia
,,,player_images\nan nan_21.png,Heroes,Italy
,,,player_images\nan nan_22.png,Heroes,Spain
Luis,Díaz,,player_images\Luis Díaz.png,Liverpool,Colombia
Hernán,Crespo,,player_images\Hernán Crespo.png,EA FC ICONS,Argentina
Ronald,Araujo,,player_images\Ronald Araujo.png,FC Barcelona,Uruguay
Nico,Williams,,player_images\Nico Williams.png,Athletic Club,Spain
Kolo,Muani,,player_images\Kolo Muani.png,Paris SG,France
Xavi,Simons,,player_images\Xavi Simons.png,RB Leipzig,Netherlands
Arda,Güler,,player_images\Arda Güler.png,Real Madrid,Turkey
Jérémy,Doku,,player_images\Jérémy Doku.png,Manchester City,Belgium
Ferland,Mendy,,player_images\Ferland Mendy.png,Real Madrid,France
Ibrahima,Konaté,,player_images\Ibrahima Konaté.png,Liverpool,France
Ruud,Gullit,,player_images\Ruud Gullit.png,EA FC ICONS,Netherlands
Thierry,Henry,,player_images\Thierry Henry.png,EA FC ICONS,France
Patrick,Vieira,,player_images\Patrick Vieira.png,EA FC ICONS,France
Wayne,Rooney,,player_images\Wayne Rooney.png,EA FC ICONS,England
,Charlton,Charlton,player_images\nan Charlton.png,EA FC ICONS,England
Jesús,Navas,,player_images\Jesús Navas.png,Sevilla FC,Spain
Ferrán,Torres,,player_images\Ferrán Torres.png,FC Barcelona,Spain
Antoine,Griezmann,,player_images\Antoine Griezmann.png,Atlético de Madrid,France
John,Stones,,player_images\John Stones.png,Manchester City,England
Kai,Havertz,,player_images\Kai Havertz.png,Arsenal,Germany
Cristiano,Ronaldo,,player_images\Cristiano Ronaldo_2.png,Al Nassr,Portugal
Declan,Rice,,player_images\Declan Rice.png,Arsenal,England
,,,player_images\nan nan_23.png,Heroes,Saudi Arabia
Lena,Oberdorf,,player_images\Lena Oberdorf.png,FC Bayern München,Germany
Marcus,Rashford,,player_images\Marcus Rashford.png,Manchester Utd,England
Federico,Valverde,,player_images\Federico Valverde.png,Real Madrid,Uruguay
Vinicius,Jr,,player_images\Vinícius Júnior.png,Real Madrid,Brazil
Cody,Gakpo,,player_images\Cody Gakpo.png,Liverpool,Netherlands
,Raphinha,Raphinha,player_images\nan Raphinha.png,FC Barcelona,Brazil
,,,player_images\nan nan_24.png,Paris SG,Spain
,Vitinha,Vitinha,player_images\nan Vitinha.png,Paris SG,Portugal
,Rodri,Rodri,player_images\nan Rodri.png,Manchester City,Spain
Emiliano,Martínez,,player_images\Emiliano Martínez.png,Aston Villa,Argentina
,Grimaldo,Grimaldo,player_images\nan Grimaldo.png,Leverkusen,Spain
Leon,Goretzka,,player_images\Leon Goretzka.png,FC Bayern München,Germany
Wesley,Sneijder,,player_images\Wesley Sneijder.png,Heroes,Netherlands
,Kaká,Kaká,player_images\nan Kaká.png,EA FC ICONS,Brazil
Franck,Ribéry,,player_images\Franck Ribéry.png,EA FC ICONS,France
Luka,Modric,,player_images\Luka Modric.png,Real Madrid,Croatia
Karim,Benzema,,player_images\Karim Benzema.png,Al Ittihad,France
Robert,Lewandowski,,player_images\Robert Lewandowski.png,FC Barcelona,Poland
Trinity,Rodman,,player_images\Trinity Rodman.png,Washington Spirit,United States
Abedi,Pelé,,player_images\Abedi Pelé.png,Heroes,Ghana
Éric,Cantona,,player_images\Éric Cantona.png,EA FC ICONS,France
Emilio,Butragueño,,player_images\Emilio Butragueño.png,EA FC ICONS,Spain
Paulo,Dybala,,player_images\Paulo Dybala.png,Roma FC,Argentina
Timo,Werner,,player_images\Timo Werner.png,Spurs,Germany
Wilfried,Zaha,,player_images\Wilfried Zaha.png,Galatasaray,Côte d'Ivoire
David,Alaba,,player_images\David Alaba.png,Real Madrid,Austria
,Gavi,,player_images\Páez Gavira_4.png,FC Barcelona,Spain
Ángel,Correa,,player_images\Ángel Correa.png,Atlético de Madrid,Argentina
Vincent,Kompany,,player_images\Vincent Kompany.png,Heroes,Belgium
,Sócrates,Sócrates,player_images\nan Sócrates.png,EA FC ICONS,Brazil
Yaya,Touré,,player_images\Yaya Touré.png,Heroes,Côte d'Ivoire
Nicolò,Barella,,player_images\Nicolò Barella.png,Inter,Italy
João,Félix,,player_images\João Félix.png,Atlético de Madrid,Portugal
Clint,Dempsey,,player_images\Clint Dempsey.png,Heroes,United States
Dennis,Bergkamp,,player_images\Dennis Bergkamp.png,EA FC ICONS,Netherlands
,,,player_images\nan nan_25.png,EA FC ICONS,Brazil
,,,player_images\nan nan_26.png,FC Barcelona,Spain
Roberto,Baggio,,player_images\Roberto Baggio.png,EA FC ICONS,Italy
,Oxlade-Chamberlain,Oxlade-Chamberlain,player_images\nan Oxlade-Chamberlain.png,Beşiktaş,England
Casey,Murphy,,player_images\Casey Murphy.png,NC Courage,United States
Jean-Clair,Todibo,,player_images\Jean-Clair Todibo.png,West Ham,France
Traoré,Diarra,,player_images\Traoré Diarra.png,Fulham,Spain
Marcos,Llorente,,player_images\Marcos Llorente.png,Atlético de Madrid,Spain
,,,player_images\nan nan_27.png,Valencia CF,Portugal
Andriy,Shevchenko,,player_images\Andriy Shevchenko.png,EA FC ICONS,Ukraine
Laurent,Blanc,,player_images\Laurent Blanc.png,EA FC ICONS,France
Tim,Cahill,,player_images\Tim Cahill.png,Heroes,Australia
Iñaki,Williams,,player_images\Iñaki Williams.png,Athletic Club,Ghana
Khéphren,Thuram,,player_images\Khéphren Thuram.png,Juventus,France
,,,player_images\nan nan_28.png,Arsenal,Spain
,Pelé,Pelé,player_images\nan Pelé_3.png,EA FC ICONS,Brazil
Sam,Kerr,,player_images\Sam Kerr_2.png,Chelsea,Australia
Jude,Bellingham,,player_images\Jude Bellingham_9.png,Real Madrid,England
,,,player_images\nan nan_29.png,FC Barcelona,Spain
,,,player_images\nan nan_30.png,Manchester City,Belgium
,,,player_images\nan nan_31.png,Liverpool,Netherlands
Zinedine,Zidane,,player_images\Zinedine Zidane_2.png,EA FC ICONS,France
Ferenc,Puskás,,player_images\Ferenc Puskás_2.png,EA FC ICONS,Hungary
Luka,Modric,,player_images\Luka Modric_2.png,Real Madrid,Croatia
Khadija,Shaw,,player_images\Khadija Shaw.png,Manchester City,Jamaica
,,,player_images\nan nan_32.png,Manchester City,Belgium
Sam,Kerr,,player_images\Sam Kerr_3.png,Chelsea,Australia
Khadija,Shaw,,player_images\Khadija Shaw_2.png,Manchester City,Jamaica
,Rodri,Rodri,player_images\nan Rodri_2.png,Manchester City,Spain
Declan,Rice,,player_images\Declan Rice_2.png,Arsenal,England
Lena,Oberdorf,,player_images\Lena Oberdorf_2.png,VfL Wolfsburg,Germany
Luka,Modric,,player_images\Luka Modric_3.png,Real Madrid,Croatia
Sam,Kerr,,player_images\Sam Kerr_4.png,Chelsea,Australia
Declan,Rice,,player_images\Declan Rice_3.png,Arsenal,England
,Rodri,Rodri,player_images\nan Rodri_3.png,Manchester City,Spain
,,,player_images\nan nan_33.png,Manchester City,Belgium
Lena,Oberdorf,,player_images\Lena Oberdorf_3.png,VfL Wolfsburg,Germany
Cristiano,Ronaldo,,player_images\Cristiano Ronaldo_3.png,Al Nassr,Portugal
Tabitha,Chawinga,,player_images\Tabitha Chawinga.png,Paris SG,Malawi
Grace,Geyoro,,player_images\Grace Geyoro_2.png,Paris SG,France
,Vitinha,Vitinha,player_images\nan Vitinha_2.png,Paris SG,Portugal
Ousmane,Dembélé,,player_images\Ousmane Dembélé_2.png,Paris SG,France
Tabitha,Chawinga,,player_images\Tabitha Chawinga_2.png,Paris SG,Malawi
Grace,Geyoro,,player_images\Grace Geyoro_3.png,Paris SG,France
Cristiano,Ronaldo,,player_images\Cristiano Ronaldo_4.png,Al Nassr,Portugal
,Vitinha,Vitinha,player_images\nan Vitinha_3.png,Paris SG,Portugal
Ousmane,Dembélé,,player_images\Ousmane Dembélé_3.png,Paris SG,France
,,,player_images\nan nan_34.png,FC Barcelona,Spain
Federico,Valverde,,player_images\Federico Valverde_2.png,Real Madrid,Uruguay
Antoine,Griezmann,,player_images\Antoine Griezmann_2.png,Atlético de Madrid,France
,,,player_images\nan nan_35.png,FC Barcelona,Spain
Antoine,Griezmann,,player_images\Antoine Griezmann_3.png,Atlético de Madrid,France
Federico,Valverde,,player_images\Federico Valverde_3.png,Real Madrid,Uruguay
Alex,Morgan,,player_images\Alex Morgan_2.png,San Diego Wave,United States
,,,player_images\nan nan_36.png,NC Courage,Brazil
Olivier,Giroud,,player_images\Olivier Giroud.png,Milan,France
Paulo,Dybala,,player_images\Paulo Dybala_2.png,Roma FC,Argentina
Alessandro,Bastoni,,player_images\Alessandro Bastoni.png,Inter,Italy
,,,player_images\nan nan_37.png,NC Courage,Brazil
Alex,Morgan,,player_images\Alex Morgan_3.png,San Diego Wave,United States
Alessandro,Bastoni,,player_images\Alessandro Bastoni_2.png,Inter,Italy
Olivier,Giroud,,player_images\Olivier Giroud_2.png,Milan,France
Paulo,Dybala,,player_images\Paulo Dybala_3.png,Roma FC,Argentina
Neymar,Jr,,player_images\Neymar Jr_2.png,Al Hilal,Brazil
Neymar,Jr,,player_images\Neymar Jr_3.png,Al Hilal,Brazil
Marco,Reus,,player_images\Marco Reus.png,Borussia Dortmund,Germany
,Raphinha,Raphinha,player_images\nan Raphinha_2.png,FC Barcelona,Brazil
Jonathan,Clauss,,player_images\Jonathan Clauss.png,OM,France
Sunil,Chhetri,,player_images\Sunil Chhetri.png,Bengaluru FC,India
Tyler,Adams,,player_images\Tyler Adams.png,AFC Bournemouth,United States
Khvicha,Kvaratskhelia,,player_images\Khvicha Kvaratskhelia.png,Napoli FC,Georgia
Federico,Chiesa,,player_images\Federico Chiesa.png,Juventus,Italy
Marcel,Sabitzer,,player_images\Marcel Sabitzer.png,Borussia Dortmund,Austria
Jan,Oblak,,player_images\Jan Oblak.png,Atlético de Madrid,Slovenia
Gheorghe,Hagi,,player_images\Gheorghe Hagi.png,EA FC ICONS,Romania
Michael,Ballack,,player_images\Michael Ballack.png,EA FC ICONS,Germany
Davor,Šuker,,player_images\Davor Šuker.png,EA FC ICONS,Croatia
Diego,Forlán,,player_images\Diego Forlán.png,Heroes,Uruguay
Bruno,Guimarães,,player_images\Bruno Guimarães.png,Newcastle Utd,Brazil
Joe,Gomez,,player_images\Joe Gomez.png,Liverpool,England
Emmanuel,Petit,,player_images\Emmanuel Petit.png,EA FC ICONS,France
Bradley,Barcola,,player_images\Bradley Barcola.png,Paris SG,France
Alistair,Johnston,,player_images\Alistair Johnston.png,Celtic,Canada
Gabriel,Martinelli,,player_images\Gabriel Martinelli.png,Arsenal,Brazil
Aurélien,Tchouaméni,,player_images\Aurélien Tchouaméni.png,Real Madrid,France
Rafael,Leão,,player_images\Rafael Leão.png,Milan,Portugal
Federico,Dimarco,,player_images\Federico Dimarco.png,Inter,Italy
,,,player_images\nan nan_38.png,Manchester Utd,Argentina
Nuno,Mendes,,player_images\Nuno Mendes_4.png,Paris SG,Portugal
Leonardo,Bonucci,,player_images\Leonardo Bonucci.png,Fenerbahçe,Italy
Trent,Alexander-Arnold,,player_images\Trent Alexander-Arnold.png,Liverpool,England
Rasmus,Højlund,,player_images\Rasmus Højlund.png,Manchester Utd,Denmark
,Rodrygo,Rodrygo,player_images\nan Rodrygo.png,Real Madrid,Brazil
,Gabriel,Gabriel,player_images\nan Gabriel.png,Arsenal,Brazil
Gonzalo,Montiel,,player_images\Gonzalo Montiel.png,Nott'm Forest,Argentina
Roberto,Carlos,,player_images\Roberto Carlos.png,EA FC ICONS,Brazil
Lothar,Matthäus,,player_images\Lothar Matthäus.png,EA FC ICONS,Germany
Antunes,Coimbra,,player_images\Antunes Coimbra.png,EA FC ICONS,Brazil
,Müller,Müller,player_images\nan Müller.png,EA FC ICONS,Germany
Paolo,Maldini,,player_images\Paolo Maldini.png,EA FC ICONS,Italy
Carlos,Tevez,,player_images\Carlos Tevez.png,Heroes,Argentina
Clarence,Seedorf,,player_images\Clarence Seedorf.png,EA FC ICONS,Netherlands
Marcos,Cafú,,player_images\Marcos Cafú.png,EA FC ICONS,Brazil
Iker,Casillas,,player_images\Iker Casillas.png,EA FC ICONS,Spain
Mario,Gomez,,player_images\Mario Gomez.png,Heroes,Germany
Jhon,Lucumí,,player_images\Jhon Lucumí.png,Bologna,Colombia
Nicolás,González,,player_images\Nicolás González.png,Fiorentina,Argentina
Douglas,Luiz,,player_images\Douglas Luiz.png,Juventus,Brazil
,,,player_images\nan nan_39.png,FC Bayern München,Netherlands
Ollie,Watkins,,player_images\Ollie Watkins.png,Aston Villa,England
Hakan,Çalhanoglu,,player_images\Hakan Çalhanoglu.png,Inter,Turkey
Leroy,Sané,,player_images\Leroy Sané.png,FC Bayern München,Germany
Diogo,Jota,,player_images\Diogo Jota.png,Liverpool,Portugal
Wout,Weghorst,,player_images\Wout Weghorst.png,Burnley,Netherlands
Lisandro,Martínez,,player_images\Lisandro Martínez.png,Manchester Utd,Argentina
Aymeric,Laporte,,player_images\Aymeric Laporte.png,Al Nassr,Spain
Dirk,Kuyt,,player_images\Dirk Kuyt.png,Heroes,Netherlands
Ansu,Fati,,player_images\Ansu Fati.png,FC Barcelona,Spain
Pierre-Emerick,Aubameyang,,player_images\Pierre-Emerick Aubameyang.png,OM,Gabon
,Oyarzabal,Oyarzabal,player_images\nan Oyarzabal.png,Real Sociedad,Spain
N'Golo,Kanté,,player_images\N'Golo Kanté_2.png,Al Ittihad,France
Joshua,Kimmich,,player_images\Joshua Kimmich.png,FC Bayern München,Germany
Christian,Eriksen,,player_images\Christian Eriksen.png,Manchester Utd,Denmark
,Marquinhos,Marquinhos,player_images\nan Marquinhos.png,Paris SG,Brazil
Bruno,Fernandes,,player_images\Bruno Fernandes.png,Manchester Utd,Portugal
Valentín,Carboni,,player_images\Valentín Carboni.png,Inter,Argentina
,,,player_images\nan nan_40.png,Real Betis,Spain
Antonio,Rüdiger,,player_images\Antonio Rüdiger.png,Real Madrid,Germany
Giorgi,Mamardashvili,,player_images\Giorgi Mamardashvili.png,Valencia CF,Georgia
Jadon,Sancho,,player_images\Jadon Sancho.png,Manchester Utd,England
Reece,James,,player_images\Reece James_4.png,Chelsea,England
,Ramires,Ramires,player_images\nan Ramires.png,Heroes,Brazil
Hristo,Stoichkov,,player_images\Hristo Stoichkov.png,EA FC ICONS,Bulgaria
,Riquelme,Riquelme,player_images\nan Riquelme.png,EA FC ICONS,Argentina
,Abily,Abily,player_images\nan Abily.png,EA FC ICONS,France
Claudio,Marchisio,,player_images\Claudio Marchisio.png,Heroes,Italy
Allan,Saint-Maximin,,player_images\Allan Saint-Maximin.png,Fenerbahçe,France
,,,player_images\nan nan_41.png,Heroes,Portugal
Sonia,Bompastor,,player_images\Sonia Bompastor.png,Heroes,France
Javier,Mascherano,,player_images\Javier Mascherano.png,Heroes,Argentina
,,,player_images\nan nan_42.png,EA FC ICONS,Netherlands
Joe,Cole,,player_images\Joe Cole.png,Heroes,England
,,,player_images\nan nan_43.png,EA FC ICONS,Netherlands
Bastian,Schweinsteiger,,player_images\Bastian Schweinsteiger.png,EA FC ICONS,Germany
Denzel,Dumfries,,player_images\Denzel Dumfries.png,Inter,Netherlands
Tyrell,Malacia,,player_images\Tyrell Malacia.png,Manchester Utd,Netherlands
Jean-Pierre,Papin,,player_images\Jean-Pierre Papin.png,Heroes,France
Petr,Cech,,player_images\Petr Cech.png,EA FC ICONS,Czech Republic
Andrew,Robertson,,player_images\Andrew Robertson.png,Liverpool,Scotland
Sydney,Leroux,,player_images\Sydney Leroux.png,Angel City FC,United States
Sadio,Mané,,player_images\Sadio Mané.png,Al Nassr,Senegal
Éver,Banega,,player_images\Éver Banega.png,Newell's,Argentina
Dzsenifer,Marozsán,,player_images\Dzsenifer Marozsán.png,OL,Germany
Iván,Córdoba,,player_images\Iván Córdoba.png,Heroes,Colombia
,,,player_images\nan nan_44.png,Heroes,Korea Republic
,Casemiro,Casemiro,player_images\nan Casemiro.png,Manchester Utd,Brazil
Ludovic,Giuly,,player_images\Ludovic Giuly.png,Heroes,France
,,,player_images\nan nan_45.png,Real Betis,Spain
,,,player_images\nan nan_46.png,Athletic Club,Spain
,,,player_images\nan nan_47.png,UDG Tenerife,Brazil
Gianfranco,Zola,,player_images\Gianfranco Zola.png,EA FC ICONS,Italy
Takumi,Minamino,,player_images\Takumi Minamino.png,AS Monaco,Japan
,Morientes,Morientes,player_images\nan Morientes.png,Heroes,Spain
,,,player_images\nan nan_48.png,Villarreal CF,Spain
Caroline,Weir,,player_images\Caroline Weir.png,Real Madrid,Scotland
,,,player_images\nan nan_49.png,Levante UD,Brazil
,,,player_images\nan nan_50.png,Heroes,Norway
Freddie,Ljungberg,,player_images\Freddie Ljungberg.png,Heroes,Sweden
Dimitar,Berbatov,,player_images\Dimitar Berbatov.png,Heroes,Bulgaria
,,,player_images\nan nan_51.png,EA FC ICONS,Spain
Gift,Monday,,player_images\Gift Monday.png,UDG Tenerife,Nigeria
Lukas,Klostermann,,player_images\Lukas Klostermann.png,RB Leipzig,Germany
Edson,Pelé,Pelé,player_images\Edson Pelé.png,EA FC ICONS,Brazil
Johan,Cruyff,,player_images\Johan Cruyff_3.png,EA FC ICONS,Netherlands
Zinedine,Zidane,,player_images\Zinedine Zidane_3.png,EA FC ICONS,France
,Ronaldo,Ronaldo,player_images\nan Ronaldo_2.png,EA FC ICONS,Brazil
Lena,Oberdorf,,player_images\Lena Oberdorf_4.png,VfL Wolfsburg,Germany
,Rodri,Rodri,player_images\nan Rodri_4.png,Manchester City,Spain
,Hamm,Hamm,player_images\nan Hamm_2.png,EA FC ICONS,United States
,,,player_images\nan nan_52.png,FC Barcelona,Spain
Rúben,Dias,,player_images\Rúben Dias_2.png,Manchester City,Portugal
Wendie,Renard,,player_images\Wendie Renard_2.png,OL,France
Sakina,Karchaoui,,player_images\Sakina Karchaoui_4.png,Paris SG,France
,Alisson,Alisson,player_images\nan Alisson.png,Liverpool,Brazil
Alexandra,Popp,,player_images\Alexandra Popp_4.png,VfL Wolfsburg,Germany
Cristiano,Ronaldo,,player_images\Cristiano Ronaldo_5.png,Al Nassr,Portugal
,Ronaldinho,Ronaldinho,player_images\nan Ronaldinho_2.png,EA FC ICONS,Brazil
Bukayo,Saka,,player_images\Bukayo Saka_2.png,Arsenal,England
Lauren,Hemp,,player_images\Lauren Hemp.png,Manchester City,England
Mohamed,Salah,,player_images\Mohamed Salah_2.png,Liverpool,Egypt
Leon,Goretzka,,player_images\Leon Goretzka_2.png,FC Bayern München,Germany
Marco,Reus,,player_images\Marco Reus_2.png,Borussia Dortmund,Germany
Jamal,Musiala,,player_images\Jamal Musiala_2.png,FC Bayern München,Germany
Lea,Schüller,,player_images\Lea Schüller.png,FC Bayern München,Germany
,Grimaldo,Grimaldo,player_images\nan Grimaldo_2.png,Leverkusen,Spain
,Grimaldo,Grimaldo,player_images\nan Grimaldo_3.png,Leverkusen,Spain
Lauren,Hemp,,player_images\Lauren Hemp_2.png,Manchester City,England
Bukayo,Saka,,player_images\Bukayo Saka_3.png,Arsenal,England
Marco,Reus,,player_images\Marco Reus_3.png,Borussia Dortmund,Germany
Jamal,Musiala,,player_images\Jamal Musiala_3.png,FC Bayern München,Germany
